,Type,Port,STS,VIS,WD,WS,Temp,Original Message,IssueTime,Pressure,DuePoint,DensityAltitude,Headwind,Crosswind,Wet
64,METAR,RKSI,7,4000,320,13,3,"222300Z 32013KT 4000 BR FEW005 SCT020 03/01 Q1020_x000d_
          NOSIG=",2019-12-23 08:00:00,1020.0,1.0,-1559.8363066306756,12.95702652152094,1.0561551593411784,0.0
65,METAR,RKSI,7,4200,340,13,3,222330Z 34013KT 4200 BR SCT005 03/01 Q1021 NOSIG=,2019-12-23 08:30:00,1021.0,1.0,-1593.756786484931,12.536848548572546,3.439102858327212,0.0
66,METAR,RKSI,0,6000,340,10,2,230000Z 34010KT 6000 SCT010 02/00 Q1021 NOSIG=,2019-12-23 09:00:00,1021.0,0.0,-1724.983231913173,9.643729652748114,2.6454637371747785,0.0
67,METAR,RKSI,0,7000,340,10,3,230030Z 34010KT 7000 FEW015 03/M00 Q1021 NOSIG=,2019-12-23 09:30:00,1021.0,0.0,-1599.6370005372364,9.643729652748114,2.6454637371747785,0.0
68,METAR,RKSI,0,8000,340,10,3,230100Z 34010KT 8000 FEW030 03/M00 Q1022 NOSIG=,2019-12-23 10:00:00,1022.0,0.0,-1633.52760010957,9.643729652748114,2.6454637371747785,0.0
69,METAR,RKSI,0,10000,330,12,4,230130Z 33012KT 9999 SCT025 04/00 Q1022 NOSIG=,2019-12-23 10:30:00,1022.0,0.0,-1508.7119172454634,11.947919624429304,1.1167885422841506,0.0
70,METAR,RKSI,0,10000,340,12,4,230200Z 34012KT 9999 SCT025 04/00 Q1022 NOSIG=,2019-12-23 11:00:00,1022.0,0.0,-1508.7119172454634,11.572475583297736,3.1745564846097345,0.0
71,METAR,RKSI,0,10000,340,11,4,230230Z 34011KT 9999 SCT020 04/00 Q1023 NOSIG=,2019-12-23 11:30:00,1023.0,0.0,-1542.548346078034,10.608102618022924,2.9100101108922565,0.0
72,METAR,RKSI,0,10000,340,10,4,230300Z 34010KT 9999 SCT020 04/M01 Q1022 NOSIG=,2019-12-23 12:00:00,1022.0,-1.0,-1514.2167775188113,9.643729652748114,2.6454637371747785,0.0
73,METAR,RKSI,0,10000,330,11,4,230330Z 33011KT 9999 BKN020 04/00 Q1022 NOSIG=,2019-12-23 12:30:00,1022.0,0.0,-1508.7119172454634,10.952259655726861,1.0237228304271382,0.0
74,METAR,RKSI,0,10000,340,11,5,230400Z 34011KT 9999 BKN020 05/00 Q1022 NOSIG=,2019-12-23 13:00:00,1022.0,0.0,-1384.4511864676758,10.608102618022924,2.9100101108922565,0.0
75,METAR,RKSI,0,10000,330,8,5,"230430Z 33008KT 310V020 9999 SCT020 05/M00 Q1022_x000d_
          NOSIG=",2019-12-23 13:30:00,1022.0,0.0,-1384.4511864676758,7.965279749619535,0.7445256948561004,0.0
76,METAR,RKSI,0,10000,340,8,6,230500Z 34008KT 9999 SCT020 06/M00 Q1022 NOSIG=,2019-12-23 14:00:00,1022.0,0.0,-1260.7409584726959,7.7149837221984905,2.116370989739823,0.0
77,METAR,RKSI,0,10000,330,8,5,230530Z 33008KT 9999 SCT020 05/M01 Q1022 NOSIG=,2019-12-23 14:30:00,1022.0,-1.0,-1389.9513894521435,7.965279749619535,0.7445256948561004,0.0
78,METAR,RKSI,0,10000,330,7,5,230600Z 33007KT 9999 SCT025 05/M01 Q1022 NOSIG=,2019-12-23 15:00:00,1022.0,-1.0,-1389.9513894521435,6.969619780917093,0.6514599829990879,0.0
79,METAR,RKSI,0,10000,310,7,5,"230630Z 31007KT 280V340 9999 SCT028 05/M01 Q1023_x000d_
          NOSIG=",2019-12-23 15:30:00,1023.0,-1.0,-1423.755069061587,6.7721127145675775,1.7715782176331238,0.0
80,METAR,RKSI,0,10000,320,7,4,230700Z 32007KT 9999 SCT028 04/M01 Q1023 NOSIG=,2019-12-23 16:00:00,1023.0,-1.0,-1548.0490803447408,6.976860434665121,0.5686989319529422,0.0
81,METAR,RKSI,0,10000,320,6,4,230730Z 32006KT 9999 SCT025 04/M01 Q1023 NOSIG=,2019-12-23 16:30:00,1023.0,-1.0,-1548.0490803447408,5.980166086855818,0.4874562273882362,0.0
82,METAR,RKSI,0,10000,330,7,4,230800Z 33007KT 9999 SCT025 04/M01 Q1024 NOSIG=,2019-12-23 17:00:00,1024.0,-1.0,-1581.8560395909767,6.969619780917093,0.6514599829990879,0.0
83,METAR,RKSI,0,10000,340,6,3,230830Z 34006KT 9999 SCT025 03/M02 Q1024 NOSIG=,2019-12-23 17:30:00,1024.0,-2.0,-1711.889302517294,5.786237791648868,1.5872782423048672,0.0
84,METAR,RKSI,0,10000,350,8,2,230900Z 35008KT 9999 SCT025 02/M02 Q1024 NOSIG=,2019-12-23 18:00:00,1024.0,-2.0,-1837.331273300802,7.230271818348578,3.423911423035699,0.0
85,METAR,RKSI,0,10000,360,4,2,230930Z 36004KT 9999 FEW025 02/M02 Q1024 NOSIG=,2019-12-23 18:30:00,1024.0,-2.0,-1837.331273300802,3.2629358819961105,2.313709020162705,0.0
86,METAR,RKSI,0,10000,10,5,2,231000Z 01005KT 9999 FEW025 02/M01 Q1025 NOSIG=,2019-12-23 19:00:00,1025.0,-1.0,-1866.0106589786285,3.5144914989608784,3.556451813778969,0.0
87,METAR,RKSI,7,5000,360,5,2,231030Z 36005KT 5000 BR FEW025 02/M02 Q1025 NOSIG=,2019-12-23 19:30:00,1025.0,-2.0,-1871.1666181919627,4.078669852495138,2.8921362752033812,0.0
88,METAR,RKSI,7,5000,10,6,1,231100Z 01006KT 5000 BR FEW025 01/M02 Q1025 NOSIG=,2019-12-23 20:00:00,1025.0,-2.0,-1997.2018609577776,4.217389798753054,4.267742176534763,0.0
89,METAR,RKSI,7,5000,10,6,1,231130Z 01006KT 5000 BR FEW025 01/M02 Q1026 NOSIG=,2019-12-23 20:30:00,1026.0,-2.0,-2031.0408547562652,4.217389798753054,4.267742176534763,0.0
90,METAR,RKSI,7,4200,360,4,0,231200Z 36004KT 4200 BR FEW025 00/M03 Q1026 NOSIG=,2019-12-23 21:00:00,1026.0,-3.0,-2162.507897550443,3.2629358819961105,2.313709020162705,0.0
91,METAR,RKSI,7,4200,360,3,0,231230Z 36003KT 4200 BR FEW025 00/M03 Q1026 NOSIG=,2019-12-23 21:30:00,1026.0,-3.0,-2162.507897550443,2.447201911497083,1.735281765122029,0.0
92,METAR,RKSI,7,3500,10,4,0,231300Z 01004KT 3500 BR FEW025 M00/M03 Q1026 NOSIG=,2019-12-23 22:00:00,1026.0,-3.0,-2162.507897550443,2.8115931991687027,2.8451614510231753,0.0
93,METAR,RKSI,7,3500,20,3,0,231330Z 02003KT 3500 BR NSC M00/M03 Q1027 NOSIG=,2019-12-23 22:30:00,1027.0,-3.0,-2196.34706345837,1.7061162597895216,2.4676238181866,0.0
94,METAR,RKSI,7,3500,20,6,0,231400Z 02006KT 3500 BR NSC 00/M03 Q1027 NOSIG=,2019-12-23 23:00:00,1027.0,-3.0,-2196.34706345837,3.4122325195790433,4.9352476363732,0.0
95,METAR,RKSI,7,3500,20,5,0,231430Z 02005KT 3500 BR NSC M00/M03 Q1027 NOSIG=,2019-12-23 23:30:00,1027.0,-3.0,-2196.34706345837,2.843527099649203,4.112706363644333,0.0
96,METAR,RKSI,7,3500,40,5,-1,231500Z 04005KT 3500 BR NSC M01/M04 Q1027 NOSIG=,2019-12-24 00:00:00,1027.0,-4.0,-2328.1126475356637,1.2654130125950867,4.83722336754827,0.0
97,METAR,RKSI,7,3500,30,5,-1,231530Z 03005KT 3500 BR NSC M01/M04 Q1026 NOSIG=,2019-12-24 00:30:00,1026.0,-4.0,-2294.2476820957777,2.0861635683088258,4.5439984117802,0.0
98,METAR,RKSI,7,3500,40,3,-2,231600Z 04003KT 3500 BR NSC M02/M04 Q1026 NOSIG=,2019-12-24 01:00:00,1026.0,-4.0,-2422.0415750674365,0.7592478075570519,2.9023340205289623,0.0
99,METAR,RKSI,7,3500,50,5,-2,231630Z 05005KT 3500 BR NSC M02/M04 Q1026 NOSIG=,2019-12-24 01:30:00,1026.0,-4.0,-2422.0415750674365,0.406213522823527,4.983471739046515,0.0
100,METAR,RKSI,7,3500,80,2,-2,231700Z 08002KT 3500 BR NSC M02/M04 Q1027 NOSIG=,2019-12-24 02:00:00,1027.0,-4.0,-2455.9358492470496,0.855977855758925,1.8075679545871444,0.0
101,METAR,RKSI,7,4000,10,4,-1,231730Z 01004KT 4000 BR NSC M01/M04 Q1027 NOSIG=,2019-12-24 02:30:00,1027.0,-4.0,-2328.1126475356637,2.8115931991687027,2.8451614510231753,0.0
102,METAR,RKSI,7,4000,10,5,-1,231800Z 01005KT 4000 BR NSC M01/M04 Q1027 NOSIG=,2019-12-24 03:00:00,1027.0,-4.0,-2328.1126475356637,3.5144914989608784,3.556451813778969,0.0
103,METAR,RKSI,7,4200,50,4,-2,"231830Z 05004KT 360V080 4200 BR NSC M02/M05 Q1027_x000d_
          NOSIG=",2019-12-24 03:30:00,1027.0,-5.0,-2460.1725782185804,0.3249708182588216,3.9867773912372124,0.0
104,METAR,RKSI,7,4500,20,4,-1,231900Z 02004KT 4500 BR NSC M01/M05 Q1027 NOSIG=,2019-12-24 04:00:00,1027.0,-5.0,-2332.345712962528,2.2748216797193623,3.2901650909154663,0.0
105,METAR,RKSI,7,4500,30,4,-2,231930Z 03004KT 4500 BR NSC M02/M05 Q1027 NOSIG=,2019-12-24 04:30:00,1027.0,-5.0,-2460.1725782185804,1.6689308546470605,3.6351987294241606,0.0
