,#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign,ops,dir,rwy,dist,ac,rot1,rot2
2481,MLAT,2019-12-21 22:11:33.798840,2019.12.21 22:11:33.798840,20933,22,11,33,37.46892035,126.44777656,-76.0,99,80.591951,144.978859,4106,AAV771,79893,84,761.5,712.5,46.25,-66.0,----,----,----,116,101,758505,----,departure,south,15L,1800.8999999999999,C,2019-12-21 22:10:09.060984,2019-12-21 22:11:58.798840
1250,MLAT,2019-12-21 22:22:09.012408,2019.12.21 22:22:09.012408,40825,22,22,9,37.46128678,126.45459473,-76.0,----,86.314831,144.192243,7404,AZG129,80529,1932,1365.0,-134.5,50.5,-70.0,----,----,----,116,101,600B20,----,departure,south,15L,2823.3,A,2019-12-21 22:19:29.323128,2019-12-21 22:22:19.422584
1380,MLAT,2019-12-21 21:36:17.798840,2019.12.21 21:36:17.798840,51712,21,36,17,37.46605039,126.45035148,-76.0,135,85.855984,145.199329,4126,HVN441,77777,1568,989.5,394.0,49.0,-70.5,----,----,----,116,101,88816A,----,departure,south,15L,2183.7,C,2019-12-21 21:35:03.012408,2019-12-21 21:36:35.798840
91,MLAT,2019-12-21 21:15:39.798840,2019.12.21 21:15:39.798840,17718,21,15,39,37.46986985,126.44693971,-76.0,114,73.239334,145.00798,4317,JJA1162,76539,2015,688.0,818.0,42.0,-60.0,----,----,----,116,101,71C301,----,departure,south,15L,1675.6,C,2019-12-21 21:14:30.323128,2019-12-21 21:16:07.798840
108,MLAT,2019-12-21 21:30:50.012408,2019.12.21 21:30:50.012408,41835,21,30,50,37.46730566,126.44923031,-76.0,----,83.523949,144.502194,7120,JJA2201,77450,87,890.0,533.5,48.5,-68.0,----,----,----,116,101,71C051,----,departure,south,15L,2016.0,C,2019-12-21 21:29:49.798840,2019-12-21 21:31:11.798840
1048,MLAT,2019-12-21 21:40:38.798840,2019.12.21 21:40:38.798840,58814,21,40,38,37.4690491,126.44767463,-76.0,110,78.933516,144.799849,4313,JJA3100,78038,844,753.0,726.5,45.5,-64.5,----,----,----,116,101,71C321,----,departure,south,15L,1784.3,C,2019-12-21 21:39:40.060984,2019-12-21 21:41:03.798840
1186,MLAT,2019-12-21 22:16:51.798840,2019.12.21 22:16:51.798840,30961,22,16,51,37.4679333,126.44866705,-76.0,99,82.200973,143.408912,4330,JNA221,80211,1867,840.5,603.0,49.0,-66.0,----,----,----,116,101,71BD56,----,departure,south,15L,1932.3,C,2019-12-21 22:16:08.060984,2019-12-21 22:17:15.274552
666,MLAT,2019-12-21 21:33:51.274552,2019.12.21 21:33:51.274552,47453,21,33,51,37.46179104,126.45412266,-76.0,100,89.918018,144.277139,7427,QTR8983,77631,1279,1323.0,-78.5,52.5,-73.0,----,----,----,116,101,6A2C9,----,departure,south,15L,2754.5,A,2019-12-21 21:31:35.684728,2019-12-21 21:34:01.422584
565,MLAT,2019-12-21 22:01:53.012408,2019.12.21 22:01:53.012408,2936,22,1,53,37.46341646,126.452685,-76.0,----,93.813645,144.107334,7412,THY6545,79313,1377,1196.0,101.5,55.0,-76.0,----,----,----,116,101,4BB14E,----,departure,south,15L,2536.3,A,2019-12-21 21:57:50.536696,2019-12-21 22:02:05.684728
855,MLAT,2019-12-21 22:07:08.798840,2019.12.21 22:07:08.798840,12667,22,7,8,37.46721447,126.44931614,-76.0,114,84.71607,144.246113,7131,TWB161,79628,1068,898.0,523.5,49.5,-68.75,----,----,----,116,101,71C069,----,departure,south,15L,2028.3000000000002,C,2019-12-21 22:05:50.060984,2019-12-21 22:07:29.798840
1256,MLAT,2019-12-21 22:09:04.798840,2019.12.21 22:09:04.798840,16409,22,9,4,37.46524572,126.45103812,-76.0,146,87.439265,145.719275,7125,VJC963,79744,1585,1050.5,305.0,49.25,-72.25,----,----,----,116,101,888134,----,departure,south,15L,2290.2999999999997,C,2019-12-21 22:07:31.536696,2019-12-21 22:09:21.798840
1660,MLAT,2019-12-21 23:24:42.274552,2019.12.21 23:24:42.274552,59822,23,24,42,37.46646881,126.44999206,-76.0,114,87.043452,144.940573,4321,AAR112,84282,1734,958.0,440.5,50.0,-71.25,----,----,----,116,101,71C078,----,departure,south,15L,2128.2999999999997,A,2019-12-21 23:23:33.323128,2019-12-21 23:25:03.323128
1230,MLAT,2019-12-21 23:13:44.536696,2019.12.21 23:13:44.536696,32235,23,13,44,37.46451616,126.45168185,-76.0,----,88.702452,145.100584,4323,AAR623,83624,284,1107.0,224.0,50.75,-72.75,----,----,----,116,101,71BF72,----,departure,south,15L,2387.7999999999997,C,2019-12-21 23:12:52.274552,2019-12-21 23:14:01.798840
1358,MLAT,2019-12-21 23:08:57.012408,2019.12.21 23:08:57.012408,21367,23,8,57,37.46692479,126.44956291,-76.0,----,81.112961,144.154394,7121,AAR701,83337,490,920.0,491.5,47.5,-65.75,----,----,----,116,101,71BC28,----,departure,south,15L,2066.6000000000004,A,2019-12-21 23:07:47.060984,2019-12-21 23:09:18.323128
567,MLAT,2019-12-21 22:11:33.798840,2019.12.21 22:11:33.798840,20933,22,11,33,37.46892035,126.44777656,-76.0,99,80.591951,144.978859,4106,AAV771,79893,84,761.5,712.5,46.25,-66.0,----,----,----,116,101,758505,----,departure,south,15L,1800.8999999999999,C,2019-12-21 22:10:09.060984,2019-12-21 22:11:58.798840
1122,MLAT,2019-12-21 23:16:45.274552,2019.12.21 23:16:45.274552,39225,23,16,45,37.45612621,126.43040121,-76.0,89,89.918018,144.277139,7420,ABL369,83805,1926,-775.5,-707.5,52.5,-73.0,----,----,----,116,101,71BF23,----,departure,south,16L,2270.2,C,2019-12-21 23:15:29.323128,2019-12-21 23:17:05.323128
1206,MLAT,2019-12-21 22:47:17.684728,2019.12.21 22:47:17.684728,94065,22,47,17,37.46472538,126.45151019,-76.0,135,77.657099,143.904821,4170,ABW9398,82037,6,1092.0,247.0,45.75,-62.75,----,----,----,116,101,424564,----,departure,south,15L,2360.3,A,2019-12-21 22:44:45.274552,2019-12-21 22:47:36.798840
1362,MLAT,2019-12-21 23:05:36.684728,2019.12.21 23:05:36.684728,13556,23,5,36,37.46507943,126.45119905,-76.0,102,88.02876,144.594732,4314,ASV711,83136,1587,1064.5,286.5,51.0,-71.75,----,----,----,116,101,71BF89,----,departure,south,15L,2313.0,C,2019-12-21 23:04:34.798840,2019-12-21 23:05:56.323128
1191,MLAT,2019-12-21 22:22:09.012408,2019.12.21 22:22:09.012408,40825,22,22,9,37.46128678,126.45459473,-76.0,----,86.314831,144.192243,7404,AZG129,80529,1932,1365.0,-134.5,50.5,-70.0,----,----,----,116,101,600B20,----,departure,south,15L,2823.3,A,2019-12-21 22:19:29.323128,2019-12-21 22:22:19.422584
1551,MLAT,2019-12-21 23:03:16.798840,2019.12.21 23:03:16.798840,7559,23,3,16,37.46857166,126.44810379,-76.0,74,77.624497,144.569577,4111,ESR581,82996,393,790.5,674.0,45.0,-63.25,----,----,----,116,101,71C325,----,departure,south,15L,1847.6999999999998,C,2019-12-21 23:02:21.060984,2019-12-21 23:03:40.798840
37,MLAT,2019-12-21 22:24:06.798840,2019.12.21 22:24:06.798840,44419,22,24,6,37.46507406,126.45121515,-76.0,97,86.226808,144.558877,4116,ESR595,80646,1043,1066.0,285.5,50.0,-70.25,----,----,----,116,101,71C048,----,departure,south,15L,2314.2,C,2019-12-21 22:22:25.323128,2019-12-21 22:24:23.798840
1581,MLAT,2019-12-21 22:58:58.323128,2019.12.21 22:58:58.323128,121025,22,58,58,37.46945679,126.44732594,-76.0,112,76.026311,144.637538,4327,ESR621,82738,1147,722.0,772.5,44.0,-62.0,----,----,----,116,101,71C342,----,departure,south,15L,1730.8,C,2019-12-21 22:57:01.060984,2019-12-21 22:59:24.323128
243,MLAT,2019-12-21 22:27:02.684728,2019.12.21 22:27:02.684728,50271,22,27,2,37.46621132,126.45024955,-76.0,100,85.560651,144.034169,7113,EVA149,80822,663,980.5,412.0,50.25,-69.25,----,----,----,116,101,899071,----,departure,south,15L,2163.7,C,2019-12-21 22:26:26.684728,2019-12-21 22:27:23.323128
87,MLAT,2019-12-21 23:07:18.798840,2019.12.21 23:07:18.798840,17499,23,7,18,37.46766508,126.44890308,-76.0,89,82.216559,144.280046,4324,JJA1408,83238,1900,861.0,573.5,48.0,-66.75,----,----,----,116,101,71C333,----,departure,south,15L,1967.9,C,2019-12-21 23:05:55.798840,2019-12-21 23:07:40.798840
136,MLAT,2019-12-21 22:49:39.274552,2019.12.21 22:49:39.274552,99393,22,49,39,37.46842682,126.44820571,-76.0,116,80.163895,145.417856,4301,JJA3172,82179,1738,799.5,658.0,45.5,-66.0,----,----,----,116,101,71C305,----,departure,south,15L,1866.0,C,2019-12-21 22:48:32.536696,2019-12-21 22:50:03.798840
113,MLAT,2019-12-21 22:36:36.274552,2019.12.21 22:36:36.274552,70555,22,36,36,37.46541739,126.45090938,-76.0,144,87.453202,145.128744,4114,JJA4407,81396,1590,1039.0,324.0,50.0,-71.75,----,----,----,116,101,71C063,----,departure,south,15L,2268.2000000000003,C,2019-12-21 22:35:15.798840,2019-12-21 22:36:53.684728
32,MLAT,2019-12-21 23:32:11.274552,2019.12.21 23:32:11.274552,79243,23,32,11,37.45900154,126.42784238,-76.0,93,82.013718,144.178079,7440,JJA8905,84731,1134,-1002.0,-388.0,48.0,-66.5,----,----,----,116,101,71C261,----,departure,south,16L,1878.8,C,2019-12-21 23:30:38.323128,2019-12-21 23:32:37.323128
114,MLAT,2019-12-21 22:44:47.684728,2019.12.21 22:44:47.684728,88355,22,44,47,37.46967137,126.4471221,-76.0,108,76.609399,144.027613,0302,JJA932F,81887,1637,703.5,796.0,45.0,-62.0,----,----,----,116,101,71C295,----,departure,south,15L,1702.0,C,2019-12-21 22:44:07.012408,2019-12-21 22:45:15.274552
1350,MLAT,2019-12-21 23:22:52.798840,2019.12.21 23:22:52.798840,54918,23,22,52,37.45678067,126.42978966,-76.0,106,86.575473,144.520022,4121,JNA077,84172,103,-829.5,-635.0,50.25,-70.5,----,----,----,116,101,71C225,----,departure,south,16L,2179.6000000000004,C,2019-12-21 23:21:51.798840,2019-12-21 23:23:13.798840
1486,MLAT,2019-12-21 23:11:13.274552,2019.12.21 23:11:13.274552,26493,23,11,13,37.46666729,126.44978821,-76.0,121,84.544737,144.9941,4311,JNA201,83473,433,939.5,462.5,48.5,-69.25,----,----,----,116,101,71C012,----,departure,south,15L,2100.8,C,2019-12-21 23:10:24.536696,2019-12-21 23:11:35.323128
1004,MLAT,2019-12-21 22:16:51.798840,2019.12.21 22:16:51.798840,30961,22,16,51,37.4679333,126.44866705,-76.0,99,82.200973,143.408912,4330,JNA221,80211,1867,840.5,603.0,49.0,-66.0,----,----,----,116,101,71BD56,----,departure,south,15L,1932.3,C,2019-12-21 22:16:08.060984,2019-12-21 22:17:15.274552
1122,MLAT,2019-12-21 22:31:36.274552,2019.12.21 22:31:36.274552,59490,22,31,36,37.46765435,126.44892454,-76.0,104,87.970521,144.367681,7457,KZR960,81096,330,863.5,572.0,51.25,-71.5,----,----,----,116,101,484339,----,departure,south,15L,1969.7,C,2019-12-21 22:30:51.798840,2019-12-21 22:31:57.323128
